Date,Electricity_Fire,Electricity_Nonfire
09-2013,238446.479,101312.89
10-2013,212673.749,101067.071
11-2013,208126.622,105269.716
12-2013,238253.308,113627.086
01-2014,256164.27,119999.939
02-2014,222819.738,100590.75
03-2014,218650.429,112083.485
04-2014,188672.826,107922.191
05-2014,210894.94,112712.869
06-2014,239035.747,117693.193
07-2014,267821.289,116797.057
08-2014,273987.071,109116.445
09-2014,235768.9,102960.309
10-2014,211580.644,101821.041
11-2014,206294.8,110041.541
12-2014,218908.462,117832.934
01-2015,238360.804,120978.358
02-2015,225762.602,107852.825
03-2015,210906.776,112361.706
04-2015,184551.704,108535.417
05-2015,209246.725,111763.937
06-2015,250219.031,111093.091
07-2015,283880.738,115367.477
08-2015,277214.979,113732.972
09-2015,244340.889,104673.832
10-2015,209545.927,101466.019
11-2015,192207.535,107381.317
12-2015,202193.938,121120.427
01-2016,227059.43,124506.583
02-2016,194663.868,118116.466
03-2016,179104.058,124238.775
04-2016,174057.712,117824.441
05-2016,195224.514,120453.218
06-2016,250577.389,116151.249
07-2016,291430.999,119393.245
08-2016,293960.143,114659.207
09-2016,242767.683,107629.889
10-2016,204576.551,107260.398
11-2016,183773.693,112199.253
12-2016,218235.775,126020.198
01-2017,214086.394,129242.42
02-2017,172228.692,117898.044
03-2017,187294.563,131120.618
04-2017,172189.711,122227.997
05-2017,193723.404,128689.474
06-2017,227745.655,129792.969
07-2017,277596.705,125741.453
08-2017,263662.58,119965.68
09-2017,219036.231,115940.608
10-2017,199214.235,118493.598
11-2017,188729.545,118387.306
12-2017,221889,127537.596
01-2018,237342.616,134927.487
02-2018,183375.223,122688.155
03-2018,189997.889,130659.199
04-2018,174654.381,125374.501
05-2018,203516.007,134642.486
06-2018,235580.978,135459.822
07-2018,283524.43,126981.617
08-2018,280357.798,126848.358
09-2018,241587.565,113965.914
10-2018,213136.784,110848.903
11-2018,203789.858,117601.588
12-2018,213155.216,127997.724
01-2019,225950.414,132584.77
02-2019,194781.006,119497.78
03-2019,196886.408,128939.768
04-2019,166401.401,129536.213
05-2019,191909.233,137634.852
06-2019,219155.44,132982.727
07-2019,276032.559,133175.659
08-2019,272188.529,128332.414
09-2019,238260.642,121356.868
10-2019,199956.386,119461.191
11-2019,195786.943,119028.431
12-2019,207112.527,130290.551
01-2020,203927.335,136998.781
02-2020,186660.609,132066.215
03-2020,179359.731,129418.437
04-2020,153280.498,125492.648
05-2020,165897.948,137848.902
06-2020,210823.407,140125.372
07-2020,273966.201,134812.484
08-2020,267557.689,129870.636
09-2020,212011.14,120466.008
10-2020,193362.06,119274.261
11-2020,173354.323,126982.107
12-2020,209141.091,134213.779
01-2021,210122.637,139568.227
02-2021,202212.727,123090.793
03-2021,170891.307,140332.53
04-2021,162909.202,128633.463
05-2021,180229.986,137630.961
06-2021,238436.772,134315.175
07-2021,273784.159,129917.49
08-2021,277725.623,134592.57
09-2021,219480.384,127741.746
10-2021,196649.707,122009.593
11-2021,182117.864,132399.101
12-2021,189412.854,149195.533
01-2022,228579.033,149370.395
02-2022,188813.956,138062.17
03-2022,175086.978,149893.343
04-2022,163131.504,140293.897
05-2022,192789.178,149759.79
06-2022,231019.109,147712.159
07-2022,278456.534,145247.132
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
